"SAMPLE"	"PC1"	"PC2"	"PC3"	"PC4"	"POPULATION"
"HGDP00082"	-0.0105439	0.0178698	0.0140814	1.39332e-05	"SAS"
"HGDP00450"	0.0344003	-0.00729052	0.00595015	0.000941844	"AFR"
"HGDP00525"	-0.0102229	0.027071	-0.00884695	-0.0174524	"EUR"
"HGDP00563"	-0.00919238	0.0203768	-0.0127589	-0.0236601	"AMR"
"HGDP00575"	-0.00937828	0.0253721	-0.00222151	-0.00974643	"EUR"
"HGDP00669"	-0.00957576	0.0253147	-0.0139353	-0.0221857	"EUR"
"HGDP00843"	-0.0161687	-0.0111159	-0.0546251	0.0972055	"AMR"
"HGDP00859"	-0.0167513	-0.00991956	-0.0521843	0.087092	"AMR"
"HGDP01225"	-0.0168253	-0.0290727	-0.00861161	-0.0144998	"EAS"
"HGDP01310"	-0.0171467	-0.0317223	0.000934697	-0.0136106	"EAS"
